task,latency,resource,observation,reward,cost,workload,conf
63,12.687,23.0,1.14;0.53;0.56;3.98;0.47;1.13;0.95;0.95;0.02;9.72;21.3;2.87;7.83;14.74;13.69;0.92;14.69;1.35;23.0;10;12.687,1.7,0,10,2;2;1;2;90;1000;24;1;2;2;3.1;50;4;1;1;1;1;2;1;14;544;4;1;1;2;256;288;1.1;1;2
64,27.535,30.0,1.07;0.35;0.48;1.99;0.45;0.34;0.89;0.73;0.02;15.24;21.27;3.05;8.11;10.65;19.15;0.66;14.54;1.0;30.0;10;27.535,0.5,0,10,1;3;1;2;90;1100;25;1;2;1;3.3;60;4;1;2;2;1;3;1;15;672;4;1;1;2;256;256;1.1;2;3
0,7.443,75.0,0.0;0.0;0.55;1.38;0.0;0.0;0.18;0.07;0.02;6.19;6.94;0.75;7.74;6.23;6.21;0.61;0.55;0.47;75.0;10;7.443,1.0,0,10,3;3;3;3;100;500;7;3;3;0;0.5;60;3;3;3;3;3;3;4;4;128;3;1;3;3;128;128;2.0;3;3
1,7.627,62.0,0.98;0.2;0.66;2.16;0.31;0.41;0.88;0.83;0.02;5.8;7.22;0.98;10.27;4.95;6.46;1.47;7.81;0.65;62.0;10;7.627,9.6,0,10,4;2;2;3;100;400;6;3;3;0;0.5;60;2;2;4;3;3;3;5;3;256;4;1;2;2;256;160;1.5;2;3
2,7.487,64.0,1.17;0.18;0.72;3.29;0.33;0.56;0.99;0.8;0.02;4.73;7.67;0.97;8.06;3.55;6.46;1.4;9.47;0.65;64.0;10;7.487,1.0,0,10,4;3;3;3;90;300;5;3;2;1;0.5;70;2;1;4;3;2;3;4;4;384;4;1;2;2;256;128;1.1;3;3
3,7.787,63.0,1.14;0.1;0.58;3.48;0.3;0.4;0.85;0.84;0.02;3.64;6.18;1.0;8.43;4.73;7.97;1.23;12.65;0.43;63.0;10;7.787,1.2,0,10,3;3;4;3;90;300;6;3;2;2;0.7;80;3;1;4;2;3;3;3;3;256;3;1;1;1;256;128;1.1;4;3
4,8.975,54.0,1.22;0.38;0.45;2.15;0.35;0.4;0.67;0.57;0.03;4.94;4.58;0.87;7.11;5.49;7.98;1.1;12.99;0.47;54.0;10;8.975,6.8,0,10,4;2;4;3;90;300;5;4;2;1;0.9;90;2;1;3;1;2;3;2;4;256;4;1;1;2;256;128;1.1;3;3
5,18.159,38.0,2.34;0.28;0.74;2.34;0.81;0.47;0.8;0.87;0.02;4.84;6.02;0.84;13.91;3.72;7.94;0.8;18.49;0.49;38.0;10;18.159,10.5,0,10,4;1;3;2;100;200;4;3;1;1;0.9;90;3;1;2;1;3;3;1;3;128;4;1;1;1;256;128;1.1;3;2
6,70.847,35.0,3.75;0.32;0.8;9.39;0.41;0.43;0.35;1.02;0.02;4.89;7.22;1.49;7.99;14.75;5.99;0.7;13.56;0.61;35.0;10;70.847,2.6,0,10,4;1;2;3;100;200;3;2;1;1;1.1;100;4;1;1;1;4;2;1;2;32;4;1;1;2;288;160;1.6;2;2
7,11.839,32.0,3.81;0.19;0.7;11.69;0.48;0.66;0.6;1.1;0.02;2.7;8.75;1.48;8.16;14.14;5.63;0.88;19.31;0.76;32.0;10;11.839,3.1,0,10,4;1;3;3;100;200;2;2;1;2;0.9;100;4;1;1;2;3;1;2;3;160;3;1;1;1;320;128;2.1;2;2
